Dödsorsaksstatistik, Antal döda, X60-X84 Avsiktligt självdestruktiv handling (självmord), Riket, Ålder: 0-95+
År;Kön;Ålder;Antal döda
2008;Män;0­4;­­
2008;Män;5­9;­­
2008;Män;10­14;­­
2008;Män;15­19;38
2008;Män;20­24;58
2008;Män;25­29;50
2008;Män;30­34;46
2008;Män;35­39;54
2008;Män;40­44;78
2008;Män;45­49;62
2008;Män;50­54;98
2008;Män;55­59;75
2008;Män;60­64;78
2008;Män;65­69;63
2008;Män;70­74;47
2008;Män;75­79;40
2008;Män;80­84;33
2008;Män;85­89;25
2008;Män;90­94;6
2008;Män;95+;4
2008;Kvinnor;0­4;­­
2008;Kvinnor;5­9;­­
2008;Kvinnor;10­14;4
2008;Kvinnor;15­19;20
2008;Kvinnor;20­24;20
2008;Kvinnor;25­29;21
2008;Kvinnor;30­34;21
2008;Kvinnor;35­39;20
2008;Kvinnor;40­44;26
2008;Kvinnor;45­49;26
2008;Kvinnor;50­54;27
2008;Kvinnor;55­59;27
2008;Kvinnor;60­64;28
2008;Kvinnor;65­69;20
2008;Kvinnor;70­74;13
2008;Kvinnor;75­79;16
2008;Kvinnor;80­84;9
2008;Kvinnor;85­89;11
2008;Kvinnor;90­94;4
2008;Kvinnor;95+;2
2007;Män;0­4;­­
2007;Män;5­9;­­
2007;Män;10­14;5
2007;Män;15­19;31
2007;Män;20­24;38
2007;Män;25­29;57
2007;Män;30­34;46
2007;Män;35­39;50
2007;Män;40­44;77
2007;Män;45­49;76
2007;Män;50­54;95
2007;Män;55­59;80
2007;Män;60­64;58
2007;Män;65­69;50
2007;Män;70­74;36
2007;Män;75­79;27
2007;Män;80­84;38
2007;Män;85­89;27
2007;Män;90­94;9
2007;Män;95+;1
2007;Kvinnor;0­4;­­
2007;Kvinnor;5­9;­­
2007;Kvinnor;10­14;2
2007;Kvinnor;15­19;15
2007;Kvinnor;20­24;20
2007;Kvinnor;25­29;15
2007;Kvinnor;30­34;13
2007;Kvinnor;35­39;29
2007;Kvinnor;40­44;38
2007;Kvinnor;45­49;34
2007;Kvinnor;50­54;28
2007;Kvinnor;55­59;28
2007;Kvinnor;60­64;35
2007;Kvinnor;65­69;18
2007;Kvinnor;70­74;16
2007;Kvinnor;75­79;12
2007;Kvinnor;80­84;14
2007;Kvinnor;85­89;7
2007;Kvinnor;90­94;1
2007;Kvinnor;95+;­­
2006;Män;0­4;­­
2006;Män;5­9;­­
2006;Män;10­14;2
2006;Män;15­19;27
2006;Män;20­24;46
2006;Män;25­29;36
2006;Män;30­34;43
2006;Män;35­39;69
2006;Män;40­44;66
2006;Män;45­49;60
2006;Män;50­54;89
2006;Män;55­59;81
2006;Män;60­64;76
2006;Män;65­69;55
2006;Män;70­74;53
2006;Män;75­79;37
2006;Män;80­84;42
2006;Män;85­89;24
2006;Män;90­94;8
2006;Män;95+;3
